Item,Stat,Result
tVisualExtendGeometric1c.xml,margin(sequences) ," [High:0.224,Medium:0.503,Low:0.273]"
tSolveGeometricProblems2a.xml,margin(sequences) ," [High:0.323,Medium:0.509,Low:0.168]"
tSolveGeometricProblems2b.xml,margin(sequences) ," [High:0.392,Medium:0.505,Low:0.103]"
tVerbalRuleTableVisualOtherRecursive1a.xml,margin(sequences) ," [High:0.437,Medium:0.489,Low:0.074]"
tVisualTableExtendOtherRecursive3a.xml,margin(sequences) ," [High:0.479,Medium:0.472,Low:0.049]"
tSolveGeometricProblems1a.xml,margin(sequences) ," [High:0.491,Medium:0.468,Low:0.042]"
tVerbalRuleVisualTablelOtherRecursive3a.xml,margin(sequences) ," [High:0.513,Medium:0.456,Low:0.031]"
tSolveGeometricProblems3a.xml,margin(sequences) ," [High:0.527,Medium:0.447,Low:0.025]"
tSolveGeometricProblems3b.xml,margin(sequences) ," [High:0.534,Medium:0.443,Low:0.023]"
tExamplesOtherRecursive2a.xml,margin(sequences) ," [High:0.539,Medium:0.44,Low:0.021]"
tVerbalRuleExtendTableOtherRecursive3a.xml,margin(sequences) ," [High:0.542,Medium:0.438,Low:0.02]"
